BookID,Title,Author,Genre,Publisher,PublicationYear,ISBN,CopiesAvailable,TotalCopies
1,Result Pressure Beautiful,Matthew Smith,Romance,Hachette Book Group,1990,978-0-9887968-3-4,2,7
2,World Responsibility,Stacy Miller,Horror,Macmillan Publishers,1973,978-0-1233075-8-2,1,14
3,Recent Final Certain,Jessica Allen,Technology,Pearson Education,2017,978-0-9118742-1-8,6,7
4,Themselves Total,Joshua Torres,Biography,Scholastic,1993,978-0-9426952-6-4,2,3
5,Painting Thank,Jennifer Garcia,Adventure,Vintage Books,1976,978-0-8393521-8-8,3,5
6,Hotel Real,Scott Harris,Adventure,Bloomsbury,2001,978-0-8114867-0-5,1,13
7,Data Civil International,David Miller,Classic,Simon & Schuster,2011,978-0-5310654-3-4,1,10
8,Whose Response,Jennifer Johnson,Self-Help,Pearson Education,1980,978-0-2856429-2-7,4,6
9,Yourself Response,Scott Rodriguez,Classic,Bloomsbury,1996,978-0-6258413-4-8,1,2
10,Response Rich,James Baker,Fantasy,Orbit,2013,978-0-6815349-2-5,1,14
11,Garden Director,John Williams,Science Fiction,Bloomsbury,1990,978-0-3882756-3-6,2,3
12,Process Message,John Smith,Technology,HarperCollins,1981,978-0-2621008-8-8,1,10
13,Lot Hand,Christopher Young,History,HarperCollins,2017,978-0-9366116-4-8,1,9
14,Security Total,Mary Martinez,Business,Pearson Education,1971,978-0-5935965-0-4,3,15
15,Party Power,Steven Moore,Business,Macmillan Publishers,1996,978-0-6379969-9-3,1,9
16,Generation Talk,Jessica White,History,HarperCollins,2009,978-0-9937101-7-5,1,12
17,Page Thank,Cynthia Gonzalez,Business,Bloomsbury,2000,978-0-3498835-2-4,1,9
18,Church Financial,Michelle Smith,Business,Pearson Education,2013,978-0-8029052-6-5,1,5
19,Message Themselves,Robert Anderson,History,Macmillan Publishers,1977,978-0-8356972-8-8,5,8
20,Recent Message,Kimberly Davis,Thriller,Penguin Random House,1997,978-0-9976374-2-9,3,7
21,Tax Range,Timothy Smith,Poetry,Orbit,2004,978-0-1550993-9-9,2,6
22,Site Wall,Robert Jones,Adventure,Scribner,1970,978-0-5596489-0-4,2,8
23,Church Talk,Daniel Williams,Science,Pearson Education,1977,978-0-3882756-3-6,1,2
24,Total Real,Christopher Miller,Science Fiction,Tor Books,2022,978-0-6182103-6-0,2,10
25,Real Power,Cynthia Gonzalez,Science Fiction,Hachette Book Group,1998,978-0-4491039-2-1,2,7
26,Talk Painting,Jessica Miller,Classic,Bloomsbury,2008,978-0-1921319-5-1,2,11
27,Hand Total,David Garcia,Non-Fiction,Macmillan Publishers,2003,978-0-3498835-2-4,4,8
28,Painting Real,Jennifer Williams,Biography,Pearson Education,1995,978-0-9426952-6-4,1,3
29,Hand Rich,John Miller,Classic,Scribner,1971,978-0-6258413-4-8,1,14
30,Process Talk,Scott Gonzalez,Horror,Macmillan Publishers,1991,978-0-9118742-1-8,2,7
31,Range Message,Robert Williams,Classic,HarperCollins,2008,978-0-5310654-3-4,1,10
32,Thank World,David Garcia,Biography,Vintage Books,2014,978-0-3882756-3-6,1,3
33,Tax Recent,Christopher Smith,History,Vintage Books,2016,978-0-6815349-2-5,1,14
34,Range World,Jennifer Gonzalez,Thriller,Hachette Book Group,1973,978-0-2621008-8-8,1,10
35,Yourself Real,Jessica Miller,Romance,Vintage Books,2016,978-0-8029052-6-5,1,5
36,Tax Message,Jennifer Miller,Science,Vintage Books,1970,978-0-9937101-7-5,1,12
37,Talk Message,Christopher Garcia,Biography,Vintage Books,1986,978-0-8356972-8-8,5,8
38,Rich Site,Scott Gonzalez,Science Fiction,HarperCollins,1991,978-0-5935965-0-4,3,15
39,Message Themselves,Robert Jones,Science,Scribner,1977,978-0-9976374-2-9,3,7
40,Yourself Message,Jessica Jones,Fantasy,Orbit,2001,978-0-1550993-9-9,2,6
41,Garden Themselves,Christopher Smith,Technology,Bloomsbury,1988,978-0-8114867-0-5,1,13
42,Hand Your,David Garcia,Biography,Simon & Schuster,1972,978-0-9366116-4-8,1,9
43,Lot Message,John Williams,Fantasy,HarperCollins,2012,978-0-6379969-9-3,1,9
44,Thank Message,Scott Gonzalez,Science,Scribner,2019,978-0-5596489-0-4,2,8
45,Recent Real,John Williams,Fantasy,HarperCollins,1980,978-0-1921319-5-1,2,11
46,Page Thank,David Smith,History,Vintage Books,1970,978-0-2856429-2-7,4,6
47,Real Message,Christopher Miller,Fantasy,Orbit,2003,978-0-3498835-2-4,1,9
48,Thank Site,David Smith,Adventure,Hachette Book Group,1993,978-0-9887968-3-4,2,7
49,Yourself Message,Robert Gonzalez,Science Fiction,Scribner,1974,978-0-8393521-8-8,3,5
50,Site Total,John Miller,Fantasy,Bloomsbury,1995,978-0-1233075-8-2,1,14
51,Site Themselves,Scott Miller,Fantasy,Orbit,2012,978-0-9118742-1-8,2,7
